"tx","ty","tz","r","g","b","a","scale","shape",
"0.15077215","0.13428","0.018204013",,,,,,,
"0.5736004","0.35517046","0.013870451",,,,,,,
"0.7850982","0.79892844","0.0073090717",,,,,,,
"0.5346849","0.7642164","0.021332113",,,,,,,
"0.28001025","0.1230981","0.021454185",,,,,,,
"0.13612695","0.5909238","0.021423668",,,,,,,
"0.093984455","0.79454684","0.012237736",,,,,,,
"0.13220525","0.903698","0.01077287",,,,,,,
"0.28814548","0.21691884","0.02464332",,,,,,,
"0.16869216","0.24384338","0.01950103",,,,,,,
"0.2068856","0.16879837","0.02137789",,,,,,,
"0.72624105","0.79157716","0.010131991",,,,,,,
"0.8801367","0.70265085","0.004562448",,,,,,,
"0.7435586","0.89959645","0.0058442056",,,,,,,
"0.2026238","0.1880293","0.021499962",,,,,,,
"0.40109476","0.64117515","0.030289158",,,,,,,
"0.18055137","0.67043364","0.027588312",,,,,,,
"0.5118358","0.19292358","0.012314031",,,,,,,
"0.29341972","0.67070335","0.03303578",,,,,,,
"0.5522357","0.5720327","0.020737011",,,,,,,
"0.5148534","0.13590197","0.008819715",,,,,,,
"0.17435278","0.91475815","0.014572366",,,,,,,
"0.13231768","0.14225022","0.017685207",,,,,,,
"0.06871073","0.6558782","0.0131075",,,,,,,
"0.18555386","0.9148428","0.015793087",,,,,,,
"0.32812423","0.4029209","0.02636759",,,,,,,
"0.44093525","0.8309604","0.0249485",,,,,,,
"0.34201294","0.27398685","0.025635157",,,,,,,
"0.61124265","0.88483745","0.012695506",,,,,,,
"0.735425","0.79418844","0.009491112",,,,,,,
"0.08132704","0.61952674","0.014755474",,,,,,,
"0.8238921","0.706826","0.0077363243",,,,,,,
"0.38848484","0.85941595","0.025680933",,,,,,,
"0.26157796","0.23827583","0.024261845",,,,,,,
"0.78147864","0.71141315","0.00982681",,,,,,,
"0.42909163","0.15461144","0.018539712",,,,,,,
"0.34481442","0.23038323","0.025085833",,,,,,,
"0.30290273","0.3568201","0.025513085",,,,,,,
"0.084715426","0.4881471","0.011627375",,,,,,,
"0.52816904","0.2025033","0.011123827",,,,,,,
"0.36328575","0.72166973","0.031845577",,,,,,,
"0.8689037","0.71913236","0.004821851",,,,,,,
"0.54393625","0.74927074","0.0208896",,,,,,,
"0.27410623","0.6365319","0.03225757",,,,,,,
"0.16169092","0.19405751","0.0193637",,,,,,,
"0.3138742","0.09941832","0.019958802",,,,,,,
"0.35183427","0.14207873","0.021789884",,,,,,,
"0.055540677","0.47317567","0.007614252",,,,,,,
"0.08249922","0.80192596","0.010055696",,,,,,,
"0.19487315","0.15016225","0.020477608",,,,,,,
"0.15891458","0.8551624","0.017914092",,,,,,,
"0.7394844","0.8691688","0.00686656",,,,,,,
"0.5529996","0.8799906","0.016311895",,,,,,,
"0.1593717","0.04801783","0.0148165105",,,,,,,
"0.15942176","0.3502103","0.017486839",,,,,,,
"0.64156586","0.89904636","0.010635538",,,,,,,
"0.3818102","0.21242392","0.023743039",,,,,,,
"0.33869374","0.046950344","0.015396353",,,,,,,
"0.66522217","0.61670625","0.015686275",,,,,,,
"0.187855","0.21036804","0.020843824",,,,,,,
"0.2336505","0.08220191","0.018585488",,,,,,,
"0.18149728","0.85956955","0.019851988",,,,,,,
"0.52911526","0.16626015","0.008743419",,,,,,,
"0.34983128","0.6187466","0.031738766",,,,,,,
"0.6007145","0.9276029","0.011963073",,,,,,,
"0.83356094","0.79037327","0.0051728087",,,,,,,
"0.17063156","0.56094354","0.023834592",,,,,,,
"0.42377383","0.4475291","0.025345236",,,,,,,
"0.40012804","0.8629213","0.025040055",,,,,,,
"0.35903364","0.1641313","0.022705425",,,,,,,
"0.41589087","0.052790668","0.011764706",,,,,,,
"0.12967098","0.193263","0.01763943",,,,,,,
"0.38988036","0.9211811","0.021576257",,,,,,,
"0.15600245","0.17603463","0.019119555",,,,,,,
"0.27562022","0.1390343","0.022186618",,,,,,,
"0.44684726","0.88554263","0.021713588",,,,,,,
"0.12597878","0.5396383","0.018112458",,,,,,,
"0.41586995","0.07879657","0.014190891",,,,,,,
"0.16997579","0.84884167","0.019409476",,,,,,,
"0.33192137","0.40397772","0.026398107",,,,,,,
"0.15235248","0.22243053","0.01873808",,,,,,,
"0.10348981","0.48675135","0.013427939",,,,,,,
"0.22767082","0.8600598","0.023956664",,,,,,,
"0.2214188","0.51263314","0.025406271",,,,,,,
"0.33294573","0.38788942","0.026215",,,,,,,
"0.1256645","0.20246314","0.017303731",,,,,,,
