"tx","ty","tz","r","g","b","a","scale","shape",
"0.25823122","0.7276965","0.03196765",,,,,,,
"0.46370524","0.072206415","0.00936904",,,,,,,
"0.33604017","0.13962191","0.02217136",,,,,,,
"0.43558455","0.07890211","0.012619211",,,,,,,
"0.22238201","0.34179628","0.022049287",,,,,,,
"0.3548295","0.09510002","0.018783856",,,,,,,
"0.11277497","0.69073296","0.01950103",,,,,,,
"0.1770405","0.6981764","0.027115282",,,,,,,
"0.8455794","0.5322055","0.007522698",,,,,,,
"0.3060517","0.18132356","0.024063477",,,,,,,
"0.07667974","0.53918594","0.0121767",,,,,,,
"0.82891595","0.87114954","0.0032501717",,,,,,,
"0.45648026","0.15904205","0.01669337",,,,,,,
"0.46456316","0.1336069","0.014236667",,,,,,,
"0.11956241","0.8007087","0.015701534",,,,,,,
"0.13065095","0.74010104","0.020401312",,,,,,,
"0.35400718","0.860352","0.026581217",,,,,,,
"0.05100937","0.5912157","0.009567407",,,,,,,
"0.12819017","0.5008805","0.016983291",,,,,,,
"0.27579504","0.21020925","0.02433814",,,,,,,
"0.2140869","0.7429453","0.02949569",,,,,,,
"0.100063115","0.53996843","0.015320058",,,,,,,
"0.32318267","0.12799014","0.021805143",,,,,,,
"0.04130033","0.74846923","0.0059357597",,,,,,,
"0.21251974","0.9010316","0.019317921",,,,,,,
"0.115329444","0.7890646","0.015793087",,,,,,,
"0.820346","0.7191129","0.007721065",,,,,,,
"0.04626732","0.7582173","0.006271458",,,,,,,
"0.124673665","0.693521","0.021118486",,,,,,,
"0.06895157","0.5560768","0.011688411",,,,,,,
"0.76627594","0.30353612","0.0",,,,,,,
"0.5640299","0.79482514","0.018463416",,,,,,,
"0.5284555","0.083878994","0.0024872206",,,,,,,
"0.4988052","0.79877824","0.022674907",,,,,,,
"0.4771226","0.079913296","0.008377203",,,,,,,
"0.27032903","0.9298197","0.020355536",,,,,,,
"0.1642154","0.5147908","0.021026932",,,,,,,
"0.51974565","0.06572861","0.002151522",,,,,,,
"0.5634507","0.9287928","0.013794156",,,,,,,
"0.7705744","0.87422013","0.005569543",,,,,,,
"0.6747066","0.8860785","0.009414816",,,,,,,
"0.0781568","0.84527516","0.0064545665",,,,,,,
"0.34078065","0.8996073","0.024002442",,,,,,,
"0.63086736","0.7216458","0.016311895",,,,,,,
"0.23221865","0.54152226","0.02729839",,,,,,,
"0.5052217","0.515545","0.022384984",,,,,,,
"0.6115248","0.74825305","0.016815443",,,,,,,
"0.6252331","0.7932612","0.015075914",,,,,,,
"0.40897804","0.647397","0.030014496",,,,,,,
"0.32521525","0.28430092","0.025680933",,,,,,,
"0.5543404","0.1709437","0.00624094",,,,,,,
"0.28673673","0.35123345","0.025040055",,,,,,,
"0.4072057","0.2577074","0.023651484",,,,,,,
"0.8416712","0.7316717","0.006134127",,,,,,,
"0.61184114","0.24529833","0.003921569",,,,,,,
"0.1293012","0.75609213","0.019745175",,,,,,,
"0.5410419","0.6458616","0.02198825",,,,,,,
"0.39996818","0.19654964","0.02232395",,,,,,,
"0.54126537","0.44235176","0.018829633",,,,,,,
"0.50944275","0.3426624","0.01841764",,,,,,,
"0.5403885","0.30456853","0.014572366",,,,,,,
"0.55508393","0.39521495","0.016479744",,,,,,,
"0.23395339","0.40147012","0.023041124",,,,,,,
"0.75631654","0.33474606","0.0",,,,,,,
"0.54302835","0.14778781","0.006149386",,,,,,,
"0.62315005","0.44641063","0.0142824445",,,,,,,
"0.3215184","0.3278277","0.025772488",,,,,,,
"0.44326267","0.36573198","0.023315785",,,,,,,
"0.2515594","0.48321092","0.025955597",,,,,,,
"0.4093233","0.1622865","0.020309757",,,,,,,
"0.6220859","0.3022015","0.0065003433",,,,,,,
"0.596322","0.82446045","0.015686275",,,,,,,
"0.18513477","0.29505196","0.019867247",,,,,,,
"0.4486381","0.45254937","0.0243534",,,,,,,
"0.13207297","0.58288366","0.020691235",,,,,,,
"0.4759771","0.9013173","0.019577324",,,,,,,
"0.50324506","0.27252844","0.017044328",,,,,,,
"0.2669761","0.70295656","0.032593273",,,,,,,
"0.069210835","0.5292107","0.010910201",,,,,,,
"0.6237361","0.66179895","0.017395286",,,,,,,
"0.49424002","0.46188053","0.022049287",,,,,,,
"0.72358197","0.647992","0.013183795",,,,,,,
"0.35659662","0.13698655","0.021454185",,,,,,,
"0.23847163","0.4789498","0.025207905",,,,,,,
"0.11260517","0.65818757","0.019684138",,,,,,,
"0.62540925","0.50119054","0.016021973",,,,,,,
"0.16864355","0.28848365","0.018829633",,,,,,,
"0.25543678","0.7153849","0.032104984",,,,,,,
"0.48963985","0.7445694","0.02464332",,,,,,,
"0.36026567","0.59826225","0.030991074",,,,,,,
"0.32521418","0.5421757","0.02980087",,,,,,,
"0.22882065","0.3962166","0.022507057",,,,,,,
"0.42931747","0.06469352","0.011917296",,,,,,,
"0.3973385","0.72076446","0.03059434",,,,,,,
"0.62240976","0.7841235","0.015304799",,,,,,,
"0.49675635","0.49192163","0.022369726",,,,,,,
"0.2808193","0.65941775","0.032791637",,,,,,,
"0.7989836","0.6173021","0.010147249",,,,,,,
"0.47461993","0.19215012","0.016510261",,,,,,,
"0.59035844","0.7302334","0.018310826",,,,,,,
"0.26927206","0.6889151","0.0327306",,,,,,,
"0.22625953","0.75713384","0.029739834",,,,,,,
"0.5416227","0.79254395","0.020080874",,,,,,,
"0.66938525","0.7624976","0.013534753",,,,,,,
"0.61087024","0.81375504","0.015030136",,,,,,,
"0.49495184","0.3048305","0.018783856",,,,,,,
"0.39376327","0.5512886","0.028809033",,,,,,,
"0.35635614","0.7350295","0.031891357",,,,,,,
"0.54283714","0.27194953","0.0131075",,,,,,,
"0.6307613","0.38279852","0.01092546",,,,,,,
"0.17989683","0.43054113","0.019638361",,,,,,,
"0.49056658","0.75240993","0.024475472",,,,,,,
"0.4661601","0.32768798","0.02136263",,,,,,,
"0.59199893","0.7641868","0.017593652",,,,,,,
