"tx","ty","tz","r","g","b","a","scale","shape",
"0.878712","0.6386306","0.005325399",,,,,,,
"0.8998295","0.8267549","0.0012970169",,,,,,,
"0.9229142","0.73687905","0.001373312",,,,,,,
"0.24578655","0.29290518","0.023544671",,,,,,,
"0.20354125","0.35683256","0.020721752",,,,,,,
"0.8873598","0.6468795","0.0046997787",,,,,,,
"0.90049577","0.7894157","0.0018310826",,,,,,,
"0.9075276","0.7468859","0.0022583352",,,,,,,
"0.21497396","0.3137525","0.021713588",,,,,,,
"0.8075527","0.2412631","0.0",,,,,,,
"0.8093876","0.13522108","0.0",,,,,,,
"0.9080907","0.7099239","0.0024261845",,,,,,,
"0.9024862","0.8304917","0.0010376135",,,,,,,
"0.7985891","0.46734703","0.007843138",,,,,,,
"0.7993607","0.28955036","0.0",,,,,,,
"0.9023296","0.8801276","6.103609e-05",,,,,,,
"0.8532626","0.6200358","0.0070344093",,,,,,,
"0.8987581","0.8027991","0.0017547875",,,,,,,
"0.80709034","0.2992642","0.0",,,,,,,
"0.89466363","0.69568723","0.0036469062",,,,,,,
"0.81237656","0.5844285","0.00967422",,,,,,,
"0.8130501","0.10397853","0.0",,,,,,,
"0.1776677","0.30923203","0.019119555",,,,,,,
"0.9079827","0.86805195","0.0",,,,,,,
"0.20283517","0.3143148","0.020965897",,,,,,,
"0.8872229","0.65215206","0.004654002",,,,,,,
"0.2376645","0.3098124","0.023071641",,,,,,,
"0.8072148","0.44822618","0.0065613794",,,,,,,
"0.893081","0.7087872","0.003448539",,,,,,,
"0.9142549","0.6794985","0.0024567025",,,,,,,
"0.90253174","0.76884025","0.002151522",,,,,,,
"0.89274126","0.6714443","0.0039063096",,,,,,,
"0.90650785","0.737535","0.0023498894",,,,,,,
"0.89264834","0.6979353","0.0036011292",,,,,,,
"0.8512886","0.8040411","0.004104677",,,,,,,
"0.91247636","0.7697446","0.0014801251",,,,,,,
"0.8045007","0.08812038","0.0",,,,,,,
"0.87248904","0.6477776","0.0057526515",,,,,,,
"0.8040363","0.5649699","0.010009918",,,,,,,
"0.8025414","0.5336036","0.00967422",,,,,,,
"0.8065676","0.4926751","0.008575571",,,,,,,
"0.80416954","0.5910068","0.010055696",,,,,,,
"0.7994403","0.2456352","0.0",,,,,,,
"0.7990173","0.33837974","0.0",,,,,,,
"0.80240333","0.28374144","0.0",,,,,,,
"0.8061948","0.3445357","0.0",,,,,,,
"0.8374767","0.6277928","0.007919433",,,,,,,
"0.79760236","0.504974","0.009430076",,,,,,,
"0.8138151","0.6023252","0.009414816",,,,,,,
"0.79554945","0.47627175","0.008331426",,,,,,,
"0.26101685","0.31621772","0.024155032",,,,,,,
"0.80363125","0.4343794","0.0060425727",,,,,,,
"0.7978558","0.4008999","0.003952087",,,,,,,
"0.1732172","0.30817655","0.018829633",,,,,,,
"0.91658056","0.7334678","0.0016632334",,,,,,,
"0.8183007","0.60075164","0.009216449",,,,,,,
"0.80400115","0.41778576","0.0050507365",,,,,,,
"0.80348516","0.26614794","0.0",,,,,,,
"0.79553145","0.50821865","0.00952163",,,,,,,
"0.8055609","0.5503776","0.009887846",,,,,,,
"0.26169172","0.31317332","0.02417029",,,,,,,
"0.8984606","0.7444429","0.002731365",,,,,,,
"0.80954295","0.34117693","0.0",,,,,,,
"0.79674673","0.4226393","0.00561532",,,,,,,
"0.79498774","0.5318975","0.010025177",,,,,,,
"0.8033294","0.44616476","0.0067139696",,,,,,,
"0.90234417","0.73821646","0.0025940337",,,,,,,
"0.2347813","0.31493416","0.022842756",,,,,,,
"0.8019533","0.51414835","0.009460594",,,,,,,
"0.2714816","0.3189789","0.024475472",,,,,,,
"0.25537568","0.31024465","0.023834592",,,,,,,
"0.8056465","0.42537478","0.0053101396",,,,,,,
"0.86230046","0.6372653","0.0063630124",,,,,,,
"0.2800306","0.2881103","0.02481117",,,,,,,
"0.8424993","0.61949694","0.007751583",,,,,,,
"0.25243092","0.31728148","0.023620967",,,,,,,
"0.8056543","0.31445086","0.0",,,,,,,
"0.80987626","0.30726367","0.0",,,,,,,
