"tx","ty","tz","r","g","b","a","scale","shape",
"0.893562","0.409951","0.000976577",,,,,,,
"0.981794","0.507798","0",,,,,,,
"0.851731","0.0927197","0",,,,,,,
"0.974459","0.34858","0",,,,,,,
"0.961774","0.292942","0",,,,,,,
"0.921031","0.0763562","0",,,,,,,
"0.870933","0.558018","0.00631724",,,,,,,
"0.973889","0.314015","0",,,,,,,
"0.957014","0.827357","0",,,,,,,
"0.977515","0.823584","0",,,,,,,
"0.934592","0.389093","0",,,,,,,
"0.860365","0.0661246","0",,,,,,,
"0.866552","0.470125","0.00503548",,,,,,,
"0.935331","0.124587","0",,,,,,,
"0.949786","0.160773","0",,,,,,,
"0.958346","0.753437","0",,,,,,,
"0.906196","0.0759536","0",,,,,,,
"0.996842","0.313941","0",,,,,,,
"0.95041","0.258865","0",,,,,,,
"0.942399","0.144685","0",,,,,,,
"0.865271","0.215414","0",,,,,,,
"0.853862","0.264677","0",,,,,,,
"0.802984","0.920847","0.00276188",,,,,,,
"0.980004","0.414685","0",,,,,,,
"0.994561","0.606476","0",,,,,,,
"0.959719","0.650283","0",,,,,,,
"0.958126","0.740123","0",,,,,,,
"0.89686","0.558856","0.00454719",,,,,,,
"0.948893","0.110585","0",,,,,,,
"0.843003","0.281533","0",,,,,,,
"0.959844","0.102849","0",,,,,,,
"0.965579","0.530299","0",,,,,,,
"0.937257","0.208853","0",,,,,,,
"0.917165","0.290076","0",,,,,,,
"0.937095","0.459132","0.000946059",,,,,,,
"0.862155","0.282061","0",,,,,,,
"0.841543","0.172426","0",,,,,,,
"0.968433","0.715447","0",,,,,,,
"0.972281","0.912168","0",,,,,,,
"0.945662","0.118873","0",,,,,,,
"0.99744","0.230628","0",,,,,,,
"0.855641","0.251057","0",,,,,,,
"0.887368","0.455844","0.00347906",,,,,,,
"0.976919","0.242552","0",,,,,,,
"0.849833","0.585174","0.00749218",,,,,,,
"0.9542","0.148622","0",,,,,,,
"0.95387","0.442023","0",,,,,,,
"0.85427","0.472502","0.00560006",,,,,,,
"0.934599","0.233811","0",,,,,,,
