"tx","ty","tz","r","g","b","a","scale","shape",
"0.742344","0.844712","0.0077821",,,,,,,
"0.892304","0.844243","0.00114443",,,,,,,
"0.142123","0.563464","0.0208286",,,,,,,
"0.519608","0.830761","0.0200504",,,,,,,
"0.181613","0.377814","0.0189822",,,,,,,
"0.193486","0.788734","0.0256199",,,,,,,
"0.164712","0.666535","0.0260166",,,,,,,
"0.233042","0.158055","0.0219425",,,,,,,
"0.628428","0.865542","0.0124819",,,,,,,
"0.402195","0.800608","0.0280766",,,,,,,
"0.167963","0.702135","0.026276",,,,,,,
"0.145262","0.607241","0.0228122",,,,,,,
"0.255266","0.805139","0.0289769",,,,,,,
"0.882289","0.86528","0.00109865",,,,,,,
"0.838411","0.833586","0.00378424",,,,,,,
"0.149869","0.549144","0.0210269",,,,,,,
"0.944733","0.859592","0",,,,,,,
"0.167538","0.684461","0.0264286",,,,,,,
"0.478644","0.798721","0.0239261",,,,,,,
"0.162013","0.669766","0.0256199",,,,,,,
"0.160607","0.458403","0.0186313",,,,,,,
"0.156642","0.744121","0.0238346",,,,,,,
"0.655876","0.851171","0.0115511",,,,,,,
"0.206778","0.298894","0.0213626",,,,,,,
"0.255348","0.0547701","0.016846",,,,,,,
"0.202413","0.765328","0.0277714",,,,,,,
"0.259772","0.157584","0.0226902",,,,,,,
"0.726775","0.853294","0.00807202",,,,,,,
"0.16983","0.651949","0.026276",,,,,,,
"0.827904","0.857966","0.00360113",,,,,,,
"0.340734","0.80384","0.0298772",,,,,,,
"0.130751","0.815621","0.0164492",,,,,,,
"0.544639","0.846065","0.0179904",,,,,,,
"0.197351","0.757728","0.0274357",,,,,,,
"0.161346","0.648346","0.0254215",,,,,,,
"0.157564","0.49783","0.0196384",,,,,,,
"0.189678","0.763593","0.0263828",,,,,,,
"0.162421","0.684375","0.0255894",,,,,,,
"0.610965","0.874273","0.013077",,,,,,,
"0.102835","0.882366","0.0077821",,,,,,,
"0.847388","0.866669","0.00254826",,,,,,,
"0.224295","0.214517","0.0225986",,,,,,,
"0.144948","0.749618","0.0222019",,,,,,,
"0.210064","0.295098","0.0216373",,,,,,,
"0.193324","0.300136","0.0203098",,,,,,,
"0.791672","0.846458","0.00546273",,,,,,,
"0.493571","0.819615","0.0222171",,,,,,,
"0.162069","0.432061","0.0179446",,,,,,,
"0.222077","0.210773","0.0225834",,,,,,,
"0.446131","0.803334","0.0256809",,,,,,,
"0.158125","0.582931","0.02327",,,,,,,
"0.177549","0.759222","0.025391",,,,,,,
"0.364877","0.800017","0.0295262",,,,,,,
"0.529681","0.840401","0.0192569",,,,,,,
"0.876848","0.852533","0.00163272",,,,,,,
"0.148802","0.596018","0.0228733",,,,,,,
"0.160732","0.769239","0.0232853",,,,,,,
"0.141669","0.491168","0.0177768",,,,,,,
"0.681178","0.690141","0.0144808",,,,,,,
"0.225003","0.235179","0.0226444",,,,,,,
"0.159755","0.377742","0.0173953",,,,,,,
"0.643573","0.86138","0.0117647",,,,,,,
"0.866842","0.830569","0.00265507",,,,,,,
"0.162141","0.439528","0.0181125",,,,,,,
"0.237113","0.0884421","0.0190738",,,,,,,
"0.24401","0.108037","0.0203403",,,,,,,
"0.169975","0.659411","0.0263676",,,,,,,
"0.147751","0.779242","0.0212253",,,,,,,
"0.42579","0.814742","0.0262608",,,,,,,
"0.253111","0.0429801","0.0158846",,,,,,,
"0.549984","0.850345","0.0175937",,,,,,,
"0.310352","0.795159","0.0304875",,,,,,,
"0.337504","0.807032","0.0297398",,,,,,,
"0.149232","0.494779","0.0187076",,,,,,,
"0.183115","0.337563","0.0193942",,,,,,,
"0.852058","0.832524","0.00337224",,,,,,,
"0.227037","0.280273","0.0226596",,,,,,,
"0.708408","0.859837","0.00863661",,,,,,,
"0.740987","0.856096","0.00738537",,,,,,,
"0.834887","0.834309","0.00395209",,,,,,,
"0.820915","0.856606","0.0040589",,,,,,,
"0.235604","0.815024","0.0273442",,,,,,,
"0.261466","0.0448113","0.0159152",,,,,,,
"0.762376","0.856568","0.00654612",,,,,,,
"0.448294","0.819551","0.0250401",,,,,,,
"0.150663","0.525464","0.0199893",,,,,,,
"0.157394","0.437429","0.0177615",,,,,,,
"0.207514","0.789039","0.026978",,,,,,,
"0.166114","0.669907","0.0260319",,,,,,,
"0.225303","0.252425","0.0226139",,,,,,,
"0.461196","0.805052","0.0247501",,,,,,,
"0.574381","0.870971","0.0154574",,,,,,,
"0.163284","0.662624","0.0260014",,,,,,,
"0.251627","0.0516455","0.0165103",,,,,,,
"0.194007","0.77831","0.026215",,,,,,,
"0.171777","0.72907","0.0261082",,,,,,,
"0.260128","0.153042","0.0225528",,,,,,,
"0.295668","0.812143","0.0295872",,,,,,,
"0.175656","0.348692","0.0187381",,,,,,,
