"tx","ty","tz","r","g","b","a","scale","shape",
"0.30198413","0.912791","0.022568094",,,,,,,
"0.3745736","0.93772846","0.020660715",,,,,,,
"0.2625999","0.8727109","0.02464332",,,,,,,
"0.42417353","0.8437653","0.025146868",,,,,,,
"0.2611752","0.46834671","0.025986115",,,,,,,
"0.2853662","0.868193","0.025955597",,,,,,,
"0.58208823","0.36005127","0.013427939",,,,,,,
"0.115092084","0.1894829","0.016800184",,,,,,,
"0.5858508","0.3224067","0.011245899",,,,,,,
"0.12798408","0.62527573","0.021347372",,,,,,,
"0.3486276","0.18662135","0.023941405",,,,,,,
"0.18831876","0.9311123","0.014785992",,,,,,,
"0.76462203","0.6822576","0.011062791",,,,,,,
"0.37135673","0.238533","0.02465858",,,,,,,
"0.3450256","0.87726915","0.025375754",,,,,,,
"0.5225456","0.6635181","0.02323949",,,,,,,
"0.37189636","0.19863017","0.023666743",,,,,,,
"0.41946077","0.41787228","0.025085833",,,,,,,
"0.58700633","0.21630783","0.0045777066",,,,,,,
"0.29752344","0.18886393","0.024246586",,,,,,,
"0.60491985","0.21046498","0.0023346303",,,,,,,
"0.21236585","0.55198634","0.026596475",,,,,,,
"0.39892337","0.059335753","0.01356527",,,,,,,
"0.5346687","0.30243194","0.015167468",,,,,,,
"0.1650457","0.48638836","0.019913023",,,,,,,
"0.24650444","0.5076079","0.02665751",,,,,,,
"0.25991243","0.9136492","0.021255817",,,,,,,
"0.6490625","0.77077305","0.014175631",,,,,,,
"0.39037883","0.055818807","0.013702602",,,,,,,
"0.16918525","0.41321373","0.018295567",,,,,,,
"0.50751555","0.6272855","0.024078736",,,,,,,
"0.46844423","0.8940744","0.020355536",,,,,,,
"0.39913303","0.31738445","0.024750134",,,,,,,
"0.7031976","0.7049946","0.013336386",,,,,,,
"0.5067155","0.7580565","0.023346303",,,,,,,
"0.18052863","0.052015282","0.015457389",,,,,,,
"0.09210467","0.5174029","0.013046464",,,,,,,
"0.10234992","0.7197642","0.017013809",,,,,,,
"0.19208264","0.50548613","0.0230869",,,,,,,
"0.079191476","0.75861466","0.011749447",,,,,,,
"0.287959","0.7380973","0.032410163",,,,,,,
"0.2352927","0.91148156","0.020325018",,,,,,,
"0.44328406","0.47054443","0.024887465",,,,,,,
"0.21609202","0.82694966","0.025284199",,,,,,,
"0.45586658","0.9324295","0.01873808",,,,,,,
"0.19349417","0.4968661","0.022751201",,,,,,,
"0.33633754","0.91156465","0.023117417",,,,,,,
"0.22778113","0.307204","0.02246128",,,,,,,
"0.8182274","0.72491896","0.007568475",,,,,,,
"0.59498155","0.9071106","0.012909133",,,,,,,
"0.24725407","0.82953864","0.02699321",,,,,,,
"0.20114502","0.48790532","0.022903793",,,,,,,
"0.15942872","0.9099904","0.01358053",,,,,,,
"0.647695","0.27667052","0.0025787747",,,,,,,
"0.07515241","0.57335955","0.012649729",,,,,,,
"0.702598","0.70945674","0.0132753495",,,,,,,
"0.14691487","0.4634312","0.017257953",,,,,,,
"0.28662926","0.66466945","0.032883193",,,,,,,
"0.10093987","0.7046097","0.017441062",,,,,,,
"0.79580027","0.81563807","0.0063019763",,,,,,,
"0.90417534","0.82416755","0.0010070954",,,,,,,
"0.5846047","0.34712833","0.012588693",,,,,,,
"0.11945316","0.08280214","0.015640497",,,,,,,
"0.5832872","0.75363374","0.018326085",,,,,,,
"0.06701803","0.7792455","0.008514535",,,,,,,
"0.05681","0.8337093","0.0032654307",,,,,,,
"0.37384462","0.8972687","0.02355993",,,,,,,
"0.43418187","0.08574464","0.0132753495",,,,,,,
"0.552378","0.6356404","0.021255817",,,,,,,
"0.32757902","0.8269454","0.028778516",,,,,,,
"0.3892605","0.12206442","0.019150073",,,,,,,
"0.46339494","0.7781943","0.025665674",,,,,,,
"0.5871177","0.8443543","0.015503166",,,,,,,
"0.8494173","0.75541","0.0052185855",,,,,,,
"0.5524861","0.9052901","0.015259022",,,,,,,
"0.08109751","0.46532","0.010681315",,,,,,,
"0.405388","0.26952648","0.02403296",,,,,,,
"0.19396546","0.538878","0.024460211",,,,,,,
"0.3355051","0.44882527","0.02713054",,,,,,,
"0.14539659","0.36198294","0.016098268",,,,,,,
"0.18841816","0.058145966","0.016144045",,,,,,,
"0.10151905","0.5208267","0.014602884",,,,,,,
"0.5236492","0.26091138","0.014404517",,,,,,,
"0.38625616","0.19248837","0.02293431",,,,,,,
"0.65037704","0.7975834","0.013504234",,,,,,,
"0.5860118","0.8704153","0.014770733",,,,,,,
"0.22852969","0.7708737","0.029114215",,,,,,,
"0.26542154","0.3408157","0.024292363",,,,,,,
"0.19013205","0.26460442","0.020508125",,,,,,,
"0.47248304","0.82798934","0.023346303",,,,,,,
"0.30778733","0.55431247","0.030151827",,,,,,,
"0.2085236","0.22923757","0.021866178",,,,,,,
"0.73249936","0.6790124","0.01248188",,,,,,,
"0.5253399","0.75073516","0.022186618",,,,,,,
"0.12080962","0.09303809","0.016174564",,,,,,,
"0.18212329","0.57642543","0.025192644",,,,,,,
"0.52303517","0.3175583","0.016769664",,,,,,,
"0.5855856","0.14629495","0.0",,,,,,,
"0.06553539","0.8292117","0.005737392",,,,,,,
"0.35331032","0.33307627","0.025864042",,,,,,,
"0.12230498","0.7609619","0.018432898",,,,,,,
"0.23322359","0.41624883","0.023041124",,,,,,,
"0.29086456","0.39754727","0.025482567",,,,,,,
"0.21154945","0.82363075","0.025238423",,,,,,,
"0.7574619","0.81166214","0.008133058",,,,,,,
"0.5863544","0.20344426","0.0037689784",,,,,,,
"0.33076596","0.75612044","0.031891357",,,,,,,
"0.84256","0.8966512","0.0018463416",,,,,,,
"0.19522294","0.7479514","0.027725643",,,,,,,
"0.694635","0.7033069","0.013778897",,,,,,,
"0.7737358","0.42413735","0.0065156026",,,,,,,
"0.4590144","0.7870316","0.025543602",,,,,,,
"0.23076756","0.7800145","0.028992143",,,,,,,
"0.25934017","0.9111842","0.021591516",,,,,,,
"0.6356817","0.062289298","0.0",,,,,,,
"0.27752766","0.30961943","0.024765393",,,,,,,
"0.09956965","0.84820163","0.009597925",,,,,,,
"0.207395","0.46676245","0.02278172",,,,,,,
"0.43402722","0.0750796","0.012283512",,,,,,,
"0.28298905","0.32862958","0.024887465",,,,,,,
"0.47371545","0.8034945","0.02403296",,,,,,,
"0.0652072","0.46238503","0.008819715",,,,,,,
"0.5345228","0.06872255","0.00094605936",,,,,,,
"0.76431125","0.9113148","0.0046692607",,,,,,,
"0.18807496","0.690417","0.028274968",,,,,,,
"0.58902335","0.09500738","0.0",,,,,,,
