"tx","ty","tz","r","g","b"
"0.466607","0.937548","-0.0615","0.888","0","0"
"0.466824","0.92771","-0.0615","0.888","0","0"
"0.46704","0.917873","-0.0615","0.888","0","0"
"0.467255","0.908035","-0.0615","0.888","0","0"
"0.46747","0.898197","-0.0615","0.888","0","0"
"0.467683","0.88836","-0.0615","0.888","0","0"
"0.467897","0.878522","-0.0615","0.888","0","0"
"0.46811","0.868684","-0.0615","0.888","0","0"
"0.468322","0.858847","-0.0615","0.888","0","0"
"0.468535","0.849009","-0.0615","0.888","0","0"
"0.468747","0.839171","-0.0615","0.888","0","0"
"0.468959","0.829333","-0.0615","0.888","0","0"
"0.46917","0.819496","-0.0615","0.888","0","0"
"0.469382","0.809658","-0.0615","0.888","0","0"
"0.469593","0.79982","-0.0615","0.888","0","0"
"0.469805","0.789983","-0.0615","0.888","0","0"
"0.470016","0.780145","-0.0615","0.888","0","0"
"0.470226","0.770307","-0.0615","0.888","0","0"
"0.470436","0.760469","-0.0615","0.888","0","0"
"0.470646","0.750632","-0.0615","0.888","0","0"
"0.470856","0.740794","-0.0615","0.888","0","0"
"0.471066","0.730956","-0.0615","0.888","0","0"
"0.471276","0.721118","-0.0615","0.888","0","0"
"0.471486","0.71128","-0.0615","0.888","0","0"
"0.471696","0.701443","-0.0615","0.888","0","0"
"0.471906","0.691605","-0.0615","0.888","0","0"
"0.472116","0.681767","-0.0615","0.888","0","0"
"0.472326","0.671929","-0.0615","0.888","0","0"
"0.472535","0.662092","-0.0615","0.888","0","0"
"0.472745","0.652254","-0.0615","0.888","0","0"
"0.472955","0.642416","-0.0615","0.888","0","0"
"0.473164","0.632578","-0.0615","0.888","0","0"
"0.473374","0.622741","-0.0615","0.888","0","0"
"0.473584","0.612903","-0.0615","0.888","0","0"
"0.473793","0.603065","-0.0615","0.888","0","0"
"0.474003","0.593227","-0.0615","0.888","0","0"
"0.474212","0.58339","-0.0615","0.888","0","0"
"0.474422","0.573552","-0.0615","0.888","0","0"
"0.474631","0.563714","-0.0615","0.888","0","0"
"0.474841","0.553876","-0.0615","0.888","0","0"
"0.47505","0.544038","-0.0615","0.888","0","0"
"0.47526","0.534201","-0.0615","0.888","0","0"
"0.475469","0.524363","-0.0615","0.888","0","0"
"0.475678","0.514525","-0.0615","0.888","0","0"
"0.475888","0.504687","-0.0615","0.888","0","0"
"0.476097","0.49485","-0.0615","0.888","0","0"
"0.476306","0.485012","-0.0615","0.888","0","0"
"0.476515","0.475174","-0.0615","0.888","0","0"
"0.476725","0.465336","-0.0615","0.888","0","0"
"0.476934","0.455498","-0.0615","0.888","0","0"
"0.477143","0.445661","-0.0615","0.888","0","0"
"0.477352","0.435823","-0.0615","0.888","0","0"
"0.477561","0.425985","-0.0615","0.888","0","0"
"0.47777","0.416147","-0.0615","0.888","0","0"
"0.477979","0.40631","-0.0615","0.888","0","0"
"0.478188","0.396472","-0.0615","0.888","0","0"
"0.478397","0.386634","-0.0615","0.888","0","0"
"0.478606","0.376796","-0.0615","0.888","0","0"
"0.478815","0.366958","-0.0615","0.888","0","0"
"0.479024","0.357121","-0.0615","0.888","0","0"
"0.479233","0.347283","-0.0615","0.888","0","0"
"0.479442","0.337445","-0.0615","0.888","0","0"
"0.479651","0.327607","-0.0615","0.888","0","0"
"0.47986","0.31777","-0.0615","0.888","0","0"
"0.480069","0.307932","-0.0615","0.888","0","0"
"0.480278","0.298094","-0.0615","0.888","0","0"
"0.480487","0.288256","-0.0615","0.888","0","0"
"0.480696","0.278418","-0.0615","0.888","0","0"
"0.480905","0.268581","-0.0615","0.888","0","0"
"0.481114","0.258743","-0.0615","0.888","0","0"
"0.481323","0.248905","-0.0615","0.888","0","0"
"0.481532","0.239067","-0.0615","0.888","0","0"
"0.481741","0.229229","-0.0615","0.888","0","0"
"0.48195","0.219392","-0.0615","0.888","0","0"
"0.482159","0.209554","-0.0615","0.888","0","0"
"0.482368","0.199716","-0.0615","0.888","0","0"
"0.482577","0.189878","-0.0615","0.888","0","0"
"0.482786","0.180041","-0.0615","0.888","0","0"
"0.482995","0.170203","-0.0615","0.888","0","0"
"0.483204","0.160365","-0.0615","0.888","0","0"
"0.483413","0.150527","-0.0615","0.888","0","0"
"0.483622","0.140689","-0.0615","0.888","0","0"
"0.483832","0.130852","-0.0615","0.888","0","0"
"0.484041","0.121014","-0.0615","0.888","0","0"
"0.48425","0.111176","-0.0615","0.888","0","0"
"0.484459","0.101338","-0.0615","0.888","0","0"
"0.484669","0.0915005","-0.0615","0.888","0","0"
"0.484878","0.0816627","-0.0615","0.888","0","0"
"0.485088","0.0718249","-0.0615","0.888","0","0"
"0.485297","0.0619871","-0.0615","0.888","0","0"
"0.485507","0.0521493","-0.0615","0.888","0","0"
"0.485717","0.0423115","-0.0615","0.888","0","0"
"0.485927","0.0324738","-0.0615","0.888","0","0"
"0.236724","0.960983","0","0.516667","0","1"
"0.238242","0.951332","0","0.516667","0","1"
"0.238474","0.941496","0","0.516667","0","1"
"0.238583","0.931657","0","0.516667","0","1"
"0.238658","0.921817","0","0.516667","0","1"
"0.238764","0.911977","0","0.516667","0","1"
"0.238941","0.902139","0","0.516667","0","1"
"0.239206","0.892303","0","0.516667","0","1"
"0.239815","0.882485","0","0.516667","0","1"
"0.24127","0.87276","0","0.516667","0","1"
"0.247955","0.866396","0","0.516667","0","1"
"0.257336","0.863479","0","0.516667","0","1"
"0.266925","0.861276","0","0.516667","0","1"
"0.276537","0.859172","0","0.516667","0","1"
"0.285807","0.855973","0","0.516667","0","1"
"0.287888","0.846728","0","0.516667","0","1"
"0.288523","0.836909","0","0.516667","0","1"
"0.288825","0.827074","0","0.516667","0","1"
"0.289024","0.817236","0","0.516667","0","1"
"0.289185","0.807397","0","0.516667","0","1"
"0.289315","0.797558","0","0.516667","0","1"
"0.289408","0.787718","0","0.516667","0","1"
"0.289478","0.777879","0","0.516667","0","1"
"0.289546","0.768039","0","0.516667","0","1"
"0.289617","0.758199","0","0.516667","0","1"
"0.289705","0.74836","0","0.516667","0","1"
"0.289909","0.738522","0","0.516667","0","1"
"0.292183","0.730458","0","0.516667","0","1"
"0.302018","0.73018","0","0.516667","0","1"
"0.311858","0.730061","0","0.516667","0","1"
"0.321697","0.730001","0","0.516667","0","1"
"0.331537","0.729997","0","0.516667","0","1"
"0.341377","0.730027","0","0.516667","0","1"
"0.351217","0.730062","0","0.516667","0","1"
"0.361057","0.730102","0","0.516667","0","1"
"0.370897","0.730145","0","0.516667","0","1"
"0.380737","0.730192","0","0.516667","0","1"
"0.390577","0.730241","0","0.516667","0","1"
"0.400417","0.730293","0","0.516667","0","1"
"0.410257","0.730346","0","0.516667","0","1"
"0.420096","0.730397","0","0.516667","0","1"
"0.429936","0.730444","0","0.516667","0","1"
"0.439776","0.730489","0","0.516667","0","1"
