"tx","ty","tz","r","g","b","a","scale","shape",
"0.89356184","0.40995118","0.0009765774","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9817939","0.5077978","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.7423439","0.84471154","0.007782101","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.85173064","0.09271973","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9744588","0.34858015","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.96177447","0.29294232","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.92103064","0.0763562","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8709331","0.55801827","0.006317235","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.97388923","0.31401536","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.95701426","0.82735735","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.97751516","0.8235838","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9345922","0.38909346","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8603649","0.06612462","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.89230406","0.8442431","0.0011444266","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.86655235","0.47012493","0.005035477","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.93533105","0.12458695","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.949786","0.16077287","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.95834553","0.75343734","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9061958","0.07595355","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.9968424","0.31394118","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.95041025","0.25886527","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.942399","0.14468455","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8652713","0.21541391","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8538616","0.26467654","0","0.5647059","0.85490197","0.93333334","1","1","1","1"
"0.8029835","0.92084706","0.002761883","0.5647059","0.85490197","0.93333334","1","1","1","1"
